Series ID,Year,Period,Label,Value
LEU0252881500,1990,Q01,1990 Qtr1,413
LEU0252881500,1990,Q02,1990 Qtr2,411
LEU0252881500,1990,Q03,1990 Qtr3,406
LEU0252881500,1990,Q04,1990 Qtr4,419
LEU0252881500,1991,Q01,1991 Qtr1,432
LEU0252881500,1991,Q02,1991 Qtr2,422
LEU0252881500,1991,Q03,1991 Qtr3,421
LEU0252881500,1991,Q04,1991 Qtr4,432
LEU0252881500,1992,Q01,1992 Qtr1,443
LEU0252881500,1992,Q02,1992 Qtr2,436
LEU0252881500,1992,Q03,1992 Qtr3,437
LEU0252881500,1992,Q04,1992 Qtr4,445
LEU0252881500,1993,Q01,1993 Qtr1,456
LEU0252881500,1993,Q02,1993 Qtr2,455
LEU0252881500,1993,Q03,1993 Qtr3,456
LEU0252881500,1993,Q04,1993 Qtr4,467
LEU0252881500,1994,Q01,1994 Qtr1,469
LEU0252881500,1994,Q02,1994 Qtr2,465
LEU0252881500,1994,Q03,1994 Qtr3,462
LEU0252881500,1994,Q04,1994 Qtr4,472
LEU0252881500,1995,Q01,1995 Qtr1,478
LEU0252881500,1995,Q02,1995 Qtr2,475
LEU0252881500,1995,Q03,1995 Qtr3,479
LEU0252881500,1995,Q04,1995 Qtr4,484
LEU0252881500,1996,Q01,1996 Qtr1,489
LEU0252881500,1996,Q02,1996 Qtr2,486
LEU0252881500,1996,Q03,1996 Qtr3,488
LEU0252881500,1996,Q04,1996 Qtr4,499
LEU0252881500,1997,Q01,1997 Qtr1,504
LEU0252881500,1997,Q02,1997 Qtr2,499
LEU0252881500,1997,Q03,1997 Qtr3,499
LEU0252881500,1997,Q04,1997 Qtr4,511
LEU0252881500,1998,Q01,1998 Qtr1,521
LEU0252881500,1998,Q02,1998 Qtr2,515
LEU0252881500,1998,Q03,1998 Qtr3,520
LEU0252881500,1998,Q04,1998 Qtr4,541
LEU0252881500,1999,Q01,1999 Qtr1,538
LEU0252881500,1999,Q02,1999 Qtr2,543
LEU0252881500,1999,Q03,1999 Qtr3,546
LEU0252881500,1999,Q04,1999 Qtr4,568
LEU0252881500,2000,Q01,2000 Qtr1,573
LEU0252881500,2000,Q02,2000 Qtr2,569
LEU0252881500,2000,Q03,2000 Qtr3,574
LEU0252881500,2000,Q04,2000 Qtr4,585
LEU0252881500,2001,Q01,2001 Qtr1,589
LEU0252881500,2001,Q02,2001 Qtr2,592
LEU0252881500,2001,Q03,2001 Qtr3,596
LEU0252881500,2001,Q04,2001 Qtr4,606
LEU0252881500,2002,Q01,2002 Qtr1,611
LEU0252881500,2002,Q02,2002 Qtr2,605
LEU0252881500,2002,Q03,2002 Qtr3,603
LEU0252881500,2002,Q04,2002 Qtr4,613
LEU0252881500,2003,Q01,2003 Qtr1,620
LEU0252881500,2003,Q02,2003 Qtr2,616
LEU0252881500,2003,Q03,2003 Qtr3,618
LEU0252881500,2003,Q04,2003 Qtr4,625
LEU0252881500,2004,Q01,2004 Qtr1,634
LEU0252881500,2004,Q02,2004 Qtr2,639
LEU0252881500,2004,Q03,2004 Qtr3,632
LEU0252881500,2004,Q04,2004 Qtr4,647
LEU0252881500,2005,Q01,2005 Qtr1,653
LEU0252881500,2005,Q02,2005 Qtr2,643
LEU0252881500,2005,Q03,2005 Qtr3,649
LEU0252881500,2005,Q04,2005 Qtr4,659
LEU0252881500,2006,Q01,2006 Qtr1,668
LEU0252881500,2006,Q02,2006 Qtr2,659
LEU0252881500,2006,Q03,2006 Qtr3,675
LEU0252881500,2006,Q04,2006 Qtr4,682
LEU0252881500,2007,Q01,2007 Qtr1,693
LEU0252881500,2007,Q02,2007 Qtr2,690
LEU0252881500,2007,Q03,2007 Qtr3,695
LEU0252881500,2007,Q04,2007 Qtr4,700
LEU0252881500,2008,Q01,2008 Qtr1,719
LEU0252881500,2008,Q02,2008 Qtr2,719
LEU0252881500,2008,Q03,2008 Qtr3,720
LEU0252881500,2008,Q04,2008 Qtr4,728
LEU0252881500,2009,Q01,2009 Qtr1,738
LEU0252881500,2009,Q02,2009 Qtr2,734
LEU0252881500,2009,Q03,2009 Qtr3,738
LEU0252881500,2009,Q04,2009 Qtr4,748
LEU0252881500,2010,Q01,2010 Qtr1,754
LEU0252881500,2010,Q02,2010 Qtr2,740
LEU0252881500,2010,Q03,2010 Qtr3,740
LEU0252881500,2010,Q04,2010 Qtr4,752
LEU0252881500,2011,Q01,2011 Qtr1,755
LEU0252881500,2011,Q02,2011 Qtr2,753
LEU0252881500,2011,Q03,2011 Qtr3,753
LEU0252881500,2011,Q04,2011 Qtr4,764
LEU0252881500,2012,Q01,2012 Qtr1,769
LEU0252881500,2012,Q02,2012 Qtr2,771
LEU0252881500,2012,Q03,2012 Qtr3,758
LEU0252881500,2012,Q04,2012 Qtr4,775
LEU0252881500,2013,Q01,2013 Qtr1,773
LEU0252881500,2013,Q02,2013 Qtr2,776
LEU0252881500,2013,Q03,2013 Qtr3,771
LEU0252881500,2013,Q04,2013 Qtr4,786
LEU0252881500,2014,Q01,2014 Qtr1,796
LEU0252881500,2014,Q02,2014 Qtr2,780
LEU0252881500,2014,Q03,2014 Qtr3,790
LEU0252881500,2014,Q04,2014 Qtr4,799
LEU0252881500,2015,Q01,2015 Qtr1,808
LEU0252881500,2015,Q02,2015 Qtr2,801
LEU0252881500,2015,Q03,2015 Qtr3,803
LEU0252881500,2015,Q04,2015 Qtr4,825
LEU0252881500,2016,Q01,2016 Qtr1,830
LEU0252881500,2016,Q02,2016 Qtr2,824
LEU0252881500,2016,Q03,2016 Qtr3,827
LEU0252881500,2016,Q04,2016 Qtr4,849
LEU0252881500,2017,Q01,2017 Qtr1,865
LEU0252881500,2017,Q02,2017 Qtr2,859
LEU0252881500,2017,Q03,2017 Qtr3,859
LEU0252881500,2017,Q04,2017 Qtr4,857
LEU0252881500,2018,Q01,2018 Qtr1,881
LEU0252881500,2018,Q02,2018 Qtr2,876
LEU0252881500,2018,Q03,2018 Qtr3,887
LEU0252881500,2018,Q04,2018 Qtr4,900
LEU0252881500,2019,Q01,2019 Qtr1,905
LEU0252881500,2019,Q02,2019 Qtr2,908
LEU0252881500,2019,Q03,2019 Qtr3,919
LEU0252881500,2019,Q04,2019 Qtr4,936
LEU0252881500,2020,Q01,2020 Qtr1,957
LEU0252881500,2020,Q02,2020 Qtr2,1002
LEU0252881500,2020,Q03,2020 Qtr3,994
LEU0252881500,2020,Q04,2020 Qtr4,984
LEU0252881500,2021,Q01,2021 Qtr1,989
LEU0252881500,2021,Q02,2021 Qtr2,990
LEU0252881500,2021,Q03,2021 Qtr3,1001
LEU0252881500,2021,Q04,2021 Qtr4,1010
LEU0252881500,2022,Q01,2022 Qtr1,1037
LEU0252881500,2022,Q02,2022 Qtr2,1041
LEU0252881500,2022,Q03,2022 Qtr3,1070
LEU0252881500,2022,Q04,2022 Qtr4,1085
LEU0252881500,2023,Q01,2023 Qtr1,1100
LEU0252881500,2023,Q02,2023 Qtr2,1100
LEU0252881500,2023,Q03,2023 Qtr3,1118
LEU0252881500,2023,Q04,2023 Qtr4,1145
LEU0252881500,2024,Q01,2024 Qtr1,1139
LEU0252881500,2024,Q02,2024 Qtr2,1143
LEU0252881500,2024,Q03,2024 Qtr3,1165
